12:17:14:617 [main] INFO  jaxb.CustomerJAXB - adress Tbilisi Street 2
12:17:14:619 [main] INFO  jaxb.CustomerJAXB - discount 3%
12:17:14:632 [main] INFO  jaxb.EmployeesJAXB - Employee info
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - Employee ID 1
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - First name Gia
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - Last name Bolkvadze
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - City Batumi
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - Phone number +995555222000
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - adress Gogebashvili Street 2
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - salary 25000
12:17:14:633 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
12:17:14:641 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
12:17:14:641 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
12:17:14:641 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
12:17:14:641 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
12:17:14:647 [main] INFO  jaxb.ManagerJAXB - Customer info
