12:46:52:194 [main] INFO  jaxb.ManagerJAXB - Manager ID 1
12:46:52:197 [main] INFO  jaxb.ManagerJAXB - First name Leila
12:46:52:197 [main] INFO  jaxb.ManagerJAXB - Last name Turmanidze
12:46:52:197 [main] INFO  jaxb.ManagerJAXB - Phone number +995555222000
12:46:52:197 [main] INFO  jaxb.ManagerJAXB - adress Gorgasali Street 2
12:46:52:197 [main] INFO  jaxb.ManagerJAXB - salary 50000
12:46:52:204 [main] INFO  jaxb.SuspensionMechanicJAXB - Suspension mechanic info:
12:46:52:204 [main] INFO  jaxb.SuspensionMechanicJAXB - Suspension mechanic ID: 1
12:46:52:204 [main] INFO  jaxb.SuspensionMechanicJAXB - Car Service B ID: 1
12:46:52:204 [main] INFO  jaxb.SuspensionMechanicJAXB - Employee ID: 2
14:05:20:350 [main] INFO  designpatterns.factorypattern.Main - Woof
14:05:31:188 [main] INFO  designpatterns.factorypattern.Main - Woof
14:05:43:202 [main] INFO  designpatterns.factorypattern.Main - Woof
14:06:36:344 [main] INFO  designpatterns.factorypattern.Main - Woof
14:06:36:349 [main] INFO  designpatterns.factorypattern.Main - Meow
