16:29:20:094 [main] INFO  jaxb.EmployeesJAXB - salary 25000
16:29:20:097 [main] INFO  jaxb.EmployeesJAXB - Manager ID2
16:29:20:106 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic info:
16:29:20:106 [main] INFO  jaxb.EngineMechanicJAXB - Engine mechanic ID: 1
16:29:20:106 [main] INFO  jaxb.EngineMechanicJAXB - Car Service ID: 1
16:29:20:106 [main] INFO  jaxb.EngineMechanicJAXB - Employee ID: 3
16:29:20:115 [main] INFO  jaxb.ManagerJAXB - Customer info
16:29:20:116 [main] INFO  jaxb.ManagerJAXB - Manager ID 1
16:29:20:116 [main] INFO  jaxb.ManagerJAXB - First name Leila
16:29:20:116 [main] INFO  jaxb.ManagerJAXB - Last name Turmanidze
16:29:20:116 [main] INFO  jaxb.ManagerJAXB - Phone number +995555222000
16:29:20:117 [main] INFO  jaxb.ManagerJAXB - adress Gorgasali Street 2
16:29:20:118 [main] INFO  jaxb.ManagerJAXB - salary 50000
16:29:20:131 [main] INFO  jaxb.SuspensionMechanicJAXB - Suspension mechanic info:
16:29:20:131 [main] INFO  jaxb.SuspensionMechanicJAXB - Suspension mechanic ID: 1
